,30,60,90,180,360,data
105,-0.007511737089,0,-0.01916932907,-0.003006012024,0,2017-05-17
106,0,0.03501945525,0.1107491857,0.05226130653,0,2017-05-18
107,0,-0.01691729323,0,-0.02005730659,0.09931506849,2017-05-19
108,0,0,0,0,0,2017-05-20
109,0,0,0,0,0,2017-05-21
110,0.006622516556,0,0,0,0.01349948079,2017-05-22
111,-0.008458646617,0,0,-0.008771929825,-0.02254098361,2017-05-23
112,-0.00663507109,0,-0.05278592375,-0.004916420846,0,2017-05-24
113,0,-0.01434034417,-0.002063983488,-0.001976284585,0,2017-05-25
114,0,-0.008729388943,-0.0196483971,-0.01089108911,-0.03354297694,2017-05-26
115,0,0,0,0,0,2017-05-27
116,0,0,0,0,0,2017-05-28
117,-0.01622137405,-0.003913894325,0,0,-0.01084598698,2017-05-29
118,-0.003879728419,0,0,-0.004004004004,0.009868421053,2017-05-30
119,-0.006815968841,0,-0.009493670886,-0.007035175879,0,2017-05-31
120,0,-0.007858546169,0.009584664537,0.001012145749,0,2017-06-01
121,0,0.0009900990099,0.002109704641,0.001011122346,0.01302931596,2017-06-02
122,0,0,0,0,0,2017-06-03
123,0,0,0,0,0,2017-06-04
124,-0.005882352941,-0.00296735905,0,0,0,2017-06-05
125,-0.0009861932939,0,0,-0.006060606061,-0.01178992497,2017-06-06
126,0,0,-0.01157894737,-0.001016260163,0,2017-06-07
127,0,-0.003968253968,0,-0.001017293998,0,2017-06-08
128,0,-0.004980079681,-0.01064962726,0,-0.02060737527,2017-06-09
129,0,0,0,0,0,2017-06-10
130,0,0,0,0,0,2017-06-11
131,-0.0009871668312,-0.004004004004,0,0,-0.001107419712,2017-06-12
132,-0.0009881422925,0,0,-0.008146639511,0.0044345898,2017-06-13
133,-0.0009891196835,0,-0.004305705059,-0.003080082136,0,2017-06-14
134,0,0,0,0,0,2017-06-15
135,0,-0.005025125628,-0.008648648649,-0.005149330587,-0.01103752759,2017-06-16
136,0,0,0,0,0,2017-06-17
137,0,0,0,0,0,2017-06-18
138,-0.00198019802,-0.006060606061,0,0,-0.01004464286,2017-06-19
139,0,0,0,-0.005175983437,0.006764374295,2017-06-20
140,-0.0009920634921,0,-0.01090512541,-0.004162330905,0,2017-06-21
141,0,-0.00406504065,-0.00441014333,-0.003134796238,0,2017-06-22
142,0,-0.001020408163,0,-0.001048218029,-0.008958566629,2017-06-23
143,0,0,0,0,0,2017-06-24
144,0,0,0,0,0,2017-06-25
145,-0.0009930486594,-0.006128702758,0,0,-0.003389830508,2017-06-26
146,0,0,0,-0.004197271773,0.003401360544,2017-06-27
147,-0.001988071571,0,0,-0.003161222339,0,2017-06-28
148,0,-0.003083247688,-0.002214839424,-0.001057082452,0,2017-06-29
149,0,-0.00206185567,-0.005549389567,-0.005291005291,-0.009039548023,2017-06-30
150,0,0,0,0,0,2017-07-01
151,0,0,0,0,0,2017-07-02
152,-0.004980079681,-0.005165289256,0,0,-0.01482326112,2017-07-03
153,-0.004004004004,0,0,-0.006382978723,-0.001157407407,2017-07-04
154,-0.006030150754,0,0,-0.005353319058,0,2017-07-05
155,0,-0.009345794393,-0.01785714286,-0.003229278794,0,2017-07-06
156,0,-0.003144654088,-0.002272727273,-0.003239740821,-0.004634994206,2017-07-07
157,0,0,0,0,0,2017-07-08
158,0,0,0,0,0,2017-07-09
159,-0.01213346815,-0.004206098843,0,0,-0.002328288708,2017-07-10
160,-0.005117707267,0,0,-0.003250270856,-0.003500583431,2017-07-11
161,-0.005144032922,0,-0.009111617312,-0.00652173913,0,2017-07-12
162,0,-0.009503695882,-0.001149425287,-0.002188183807,0,2017-07-13
